"CUSTOMER_CODE","INVOICE_CODE","AMOUNT","DATE"
"CUST000000000000000000000000000000","IN000000000000000000000000000001","9674.000000","25-Jan-1485"
"CUST000000000000000000000000000001","IN000000000000000000000000000002","9204.000000","03-Jan-1245"
"CUST000000000000000000000000000005","IN000000000000000000000000000015","2768.000000","09-Jun-1695"
"CUST000000000000000000000000000002","IN000000000000000000000000000026","2468.000000","02-Apr-1669"
"CUST000000000000000000000000000000","IN000000000000000000000000000029","2362.000000","23-Apr-1091"
"CUST000000000000000000000000000009","IN000000000000000000000000000047","8704.000000","05-Nov-1733"
"CUST000000000000000000000000000000","IN000000000000000000000000000049","1215.000000","00-Jan-1830"
"CUST000000000000000000000000000001","IN000000000000000000000000000098","9037.000000","24-May-1468"
"CUST000000000000000000000000000009","IN000000000000000000000000000103","6842.000000","26-May-2000"
"CUST000000000000000000000000000007","IN000000000000000000000000000119","7119.000000","24-Mar-2016"
"CUST000000000000000000000000000009","IN000000000000000000000000000120","9110.000000","01-May-1755"
"CUST000000000000000000000000000009","IN000000000000000000000000000124","9403.000000","05-Jan-1572"
"CUST000000000000000000000000000009","IN000000000000000000000000000158","4117.000000","03-Jan-1543"
"CUST000000000000000000000000000006","IN000000000000000000000000000176","8471.000000","06-Oct-1784"
"CUST000000000000000000000000000006","IN000000000000000000000000000186","265.000000","08-Oct-1303"
"CUST000000000000000000000000000001","IN000000000000000000000000000198","2841.000000","11-Sep-1952"
