"INVOICE_CODE","ITEM_CODE","AMOUNT","QUANTITY"
"IN000000000000000000000000000071","MDECBQJZQYGXLMKFUAYMISQERABXAF","68027.000000","27214"
"IN000000000000000000000000000082","ZBLTSGMQYBWCKCJJZORZZTSUVUXPNY","77469.000000","39768"
"IN000000000000000000000000000092","HQNWMBDSPACYJTUDXRZYIAJSHCXMOZ","75305.000000","12817"
"IN000000000000000000000000000017","XUOPBQBKKTSKRJSZZJYLGLXTNLLWHJ","65313.000000","83543"
"IN000000000000000000000000000035","AVOPCNVKKBJIHLLTKJYDFMKHHHCJCV","18963.000000","56963"
"IN000000000000000000000000000117","QXORNQNDJLHTTVMMRNNGUBJENXRCZW","76223.000000","12505"
"IN000000000000000000000000000076","EDCIIQULCTDIROSACQSPVVBQZLYIFO","82262.000000","64052"
"IN000000000000000000000000000006","ROBBXUXLFREYHTIPYQKFXJYFIFMGEP","41778.000000","78379"
"IN000000000000000000000000000013","HNQLUQGAOSYIFZABWJEUGNXTNBFSMN","73075.000000","99932"
"IN000000000000000000000000000085","XJDOBXENQBMSHBYIVHITCJUYBDZWQH","48880.000000","76131"
"IN000000000000000000000000000114","UKEGQUZUENHERUGNMPBNCPSXKSFFKL","65855.000000","81264"
"IN000000000000000000000000000144","AZSIQZODFFFLMSQCXICWXAVOLOSLTT","52234.000000","91546"
"IN000000000000000000000000000149","HNPNUBXWUHBIJCUMTZFINKDRQURSFI","21689.000000","71463"
"IN000000000000000000000000000110","EWYXBRPDPEDEMSJIXJFRWXBPVSWUDJ","82457.000000","64424"
"IN000000000000000000000000000017","RFTGZAULJMJTBXSMXYYLJJIKOBCCPB","69105.000000","43424"
"IN000000000000000000000000000096","MTPRXNDBWYYHVTEORFAEMETQAHEIFF","23747.000000","8543"
"IN000000000000000000000000000044","MHMPWSWXBZWLILCANTSNQZSFXJVXEZ","86204.000000","45322"
"IN000000000000000000000000000158","UJCYPHLVKASDPJVDITEFHGLLCPEBAK","94554.000000","8927"
"IN000000000000000000000000000128","PHHAWOXFSJLGYMPEJXVQZVWVGZUFUJ","52395.000000","95237"
"IN000000000000000000000000000074","BAYTDDPWWMRMFNSIVJFNEIMYQCMIHD","97555.000000","78443"
"IN000000000000000000000000000077","YZZUEZCWLGXKVBGRGIETICLBBNTFBY","1712.000000","26091"
"IN000000000000000000000000000094","BTUQKSEUVMIRCDOISSNBPYKKVFTOVG","77892.000000","20791"
"IN000000000000000000000000000069","PJFPHCRNALDCDCXCREEZXJQNJZTDMS","42913.000000","18385"
"IN000000000000000000000000000087","LQWMRLLXEHSIRYBOJBNMVRRBCLILDT","54507.000000","54273"
"IN000000000000000000000000000115","SWUQTQDASSFLJZTYCIQDBJIPEZFQGJ","76971.000000","62731"
"IN000000000000000000000000000176","FJMYYNXCFYBMQCKYOHGLXLPGPEIBNT","62652.000000","89770"
"IN000000000000000000000000000164","LOQWPMABDBVDDCBXYNETAMJQXTNGDY","42257.000000","41040"
"IN000000000000000000000000000170","GZSHYHYRYHDOGGCLAGDLNVVDIDYWVU","64492.000000","36830"
"IN000000000000000000000000000191","AJHDVLZKEIXVTEXSKQSMVBNGUAISOV","95566.000000","83477"
"IN000000000000000000000000000046","BXAVOMXATLRFBCNNDDJPDVMQZRTLEA","57416.000000","31804"
"IN000000000000000000000000000053","VDFNERSIVUEKYTTUCWFTHASHMZJTLM","50074.000000","43908"
"IN000000000000000000000000000134","PECGXLPYXWNYPVMBWFJDBDFBGOFZPG","76119.000000","29119"
"IN000000000000000000000000000113","PREBQWLOKSGHFQGDSWBFHZXFMKDDSD","82435.000000","45746"
"IN000000000000000000000000000103","UWYONCNRMGYBUCXISHZLDHAYBRQTTR","72314.000000","26150"
"IN000000000000000000000000000107","HDHOUZKIEPYNPLPHLYBWJPETDWGKGZ","75237.000000","28006"
"IN000000000000000000000000000044","DVVTNXCATMKUBORFMHSQBAFSYIKXIY","23004.000000","95556"
"IN000000000000000000000000000004","UUEFXGCXYGQJUYKBOANZKLVACGJBBT","39782.000000","72711"
"IN000000000000000000000000000065","LUBAUGKWGMKROHOXAOROSPWUCGPRUN","14058.000000","9272"
"IN000000000000000000000000000112","LNRUYFKFWNNBJVWDKHBIXNWKASDRPI","46233.000000","59479"
"IN000000000000000000000000000158","ARNPHYYKTEMSYLLYACJQVXSKIPPMNY","51948.000000","7570"
"IN000000000000000000000000000017","TXSWRGGMTYPWMKIPKBAXLRDMENHODU","38910.000000","90212"
"IN000000000000000000000000000074","LUSRTUMJVTUXRMTOQZNZZKVAIFMSNF","47110.000000","74641"
"IN000000000000000000000000000061","DZOHMVTAQVJRTIRVQNJCSLNMGBVJEL","79571.000000","27301"
"IN000000000000000000000000000086","RPTUSJWBPWQFHWBHSVEWYWVCRWSFHC","67081.000000","71178"
"IN000000000000000000000000000190","VFPAAYOGWYXTSGLWCYQRBDBPOVVJSS","34374.000000","82002"
"IN000000000000000000000000000013","QWLTBHXUVPUXEMQWRPXGBQWJHXUKXD","12207.000000","37998"
"IN000000000000000000000000000089","RZBABJVTGPJBDUKFXOZJZYUJFUNPDC","581.000000","28635"
"IN000000000000000000000000000117","TTVPLNBVYPWEAPJGXJQSXKMFGGOFRX","70514.000000","84846"
"IN000000000000000000000000000189","GOHGIWIBELUOCCYCJCPOLXZVEDZFTR","56702.000000","53062"
"IN000000000000000000000000000195","RSWXHJDQGUNMDVCQMSYZINIBDVDQSN","90094.000000","34066"
"IN000000000000000000000000000184","SJWNSQWGFXMUTAMUCECZWLXWBVIJDJ","29299.000000","75377"
"IN000000000000000000000000000060","ZDJTKTZQJDMIZIRLYVJRAPDQBUEPLM","13192.000000","65136"
"IN000000000000000000000000000070","ACYBCHHJVURZRRDYBGSCMLVPTRIUON","87043.000000","18519"
"IN000000000000000000000000000037","LZYSOHKAJFYZOZRYAQFTXHLDIWWPLZ","11890.000000","47880"
